DFD	Function	Enrichment	mode
chr11:90859767-96347930	skeletal system development	3.9e-05	1
chr11:90859767-96347930	skeletal system morphogenesis	0.000199	1
chr11:90859767-96347930	embryonic skeletal system development	2.62e-06	1
chr11:90859767-96347930	embryonic skeletal system morphogenesis	0.0112	1
chr11:90859767-96347930	anterior/posterior pattern specification	0.0287	1
chr15:99931711-103827979	regionalization	0.0487	1
chr15:99931711-103827979	anterior/posterior pattern specification	0.00122	1
chr15:99931711-103827979	DNA-binding transcription factor activity, RNA polymerase II-specific	0.0197	1
chr15:99931711-103827979	DNA-binding transcription activator activity, RNA polymerase II-specific	0.0298	1
chr17:35016579-35699309	Golgi stack	0.000183	1
chr17:35016579-35699309	Golgi cisterna	4.27e-05	1
chr17:35016579-35699309	cell surface	0.0024	1
chr19:45232684-46657389	pattern specification process	0.0141	1
chr19:45232684-46657389	specification of symmetry	0.0238	1
chr19:45232684-46657389	determination of bilateral symmetry	0.023	1
chr19:45232684-46657389	determination of left/right symmetry	0.017	1
chr2:70661576-84810335	appendage development	0.00684	1
chr2:70661576-84810335	limb development	0.00684	1
chr2:70661576-84810335	appendage morphogenesis	0.0368	1
chr2:70661576-84810335	limb morphogenesis	0.0368	1
chr2:70661576-84810335	embryonic morphogenesis	4.87e-05	1
chr2:70661576-84810335	embryonic appendage morphogenesis	0.0164	1
chr2:70661576-84810335	embryonic limb morphogenesis	0.0164	1
chr2:70661576-84810335	animal organ morphogenesis	0.00163	1
chr2:70661576-84810335	embryonic organ morphogenesis	0.0247	1
chr2:70661576-84810335	skeletal system development	0.0101	1
chr2:70661576-84810335	regionalization	0.0487	1
chr2:70661576-84810335	anterior/posterior pattern specification	0.0163	1
chr6:48024188-52240854	negative regulation of hemopoiesis	0.0162	1
chr6:48024188-52240854	embryonic skeletal system development	0.00638	1
chr6:48024188-52240854	transcription factor activity, RNA polymerase II proximal promoter sequence-specific DNA binding	0.0164	1
chr6:48024188-52240854	RNA polymerase II proximal promoter sequence-specific DNA binding	0.0411	1
chrX:73639419-74373349	developmental growth involved in morphogenesis	0.0431	1
chrX:73639419-74373349	developmental cell growth	0.0422	1
chrX:73639419-74373349	neuron projection extension	0.00915	1
chrX:73639419-74373349	negative regulation of cell projection organization	0.000494	1
chrX:73639419-74373349	negative regulation of neuron differentiation	0.0365	1
chrX:73639419-74373349	negative regulation of neuron projection development	0.00501	1
chr1:134193448-139929608	supramolecular complex	0.0259	-1
chr1:134193448-139929608	supramolecular polymer	0.0256	-1
chr1:134193448-139929608	supramolecular fiber	0.0242	-1
chr15:12031565-31274341	cell-cell adhesion	0.0142	-1
chr16:30955144-32877766	endoplasmic reticulum subcompartment	0.00576	-1
chr16:30955144-32877766	nuclear outer membrane-endoplasmic reticulum membrane network	0.00658	-1
chr16:30955144-32877766	endoplasmic reticulum membrane	0.00542	-1
chr18:37736936-43083127	cell-cell adhesion	3.34e-08	-1
chr18:37736936-43083127	calcium ion binding	4.59e-07	-1
chr7:45814022-62381640	inorganic ion transmembrane transport	0.00731	-1
chr7:45814022-62381640	sensory perception of sound	0.0477	-1
chr7:45814022-62381640	inorganic molecular entity transmembrane transporter activity	9.73e-05	-1
chr7:45814022-62381640	passive transmembrane transporter activity	0.00275	-1
chr7:45814022-62381640	channel activity	0.00275	-1
chr7:45814022-62381640	gated channel activity	0.00204	-1
chr7:45814022-62381640	ligand-gated channel activity	0.00177	-1
chr7:45814022-62381640	substrate-specific channel activity	0.00156	-1
chr7:45814022-62381640	ion transmembrane transporter activity	0.000219	-1
chr7:45814022-62381640	cation transmembrane transporter activity	0.0459	-1
chr7:45814022-62381640	inorganic cation transmembrane transporter activity	0.0214	-1
chr7:45814022-62381640	metal ion transmembrane transporter activity	0.00228	-1
chr7:45814022-62381640	ion gated channel activity	0.0019	-1
chr7:45814022-62381640	ion channel activity	0.00127	-1
chr7:45814022-62381640	ligand-gated ion channel activity	0.00177	-1
chr8:85840959-94395377	negative regulation of growth	0.0121	-1
